time,acceleration_x,acceleration_y,acceleration_z
36923,1.052,1.152,0.468
36952,1.055,1.152,0.419
36981,1.052,1.155,2.387
37010,1.061,1.155,2.216
37039,1.055,1.148,0.458
37068,1.055,1.145,0.413
37097,1.061,1.155,2.394
37127,1.055,1.155,1.877
37155,1.058,1.152,0.452
37185,1.052,1.152,0.413
37214,1.061,1.152,2.39
37242,1.055,1.148,1.777
37272,1.055,1.148,0.452
37301,1.055,1.148,0.416
37330,1.058,1.155,2.394
37359,1.052,1.152,1.645
37389,1.058,1.148,0.452
37417,1.058,1.148,0.41
37447,1.061,1.152,2.426
37476,1.055,1.148,1.69
37505,1.052,1.152,0.448
37534,1.055,1.152,0.748
37563,1.058,1.152,2.413
37593,1.055,1.148,1.1
37621,1.055,1.148,0.452
37651,1.055,1.152,1.155
37680,1.058,1.152,2.39
37708,1.055,1.148,0.848
37738,1.055,1.148,0.445
37767,1.055,1.148,1.345
37796,1.058,1.155,2.429
37825,1.052,1.152,1.087
37855,1.058,1.152,0.448
37883,1.058,1.152,1.506
37913,1.058,1.152,2.423
37942,1.055,1.152,0.681
37970,1.055,1.148,0.442
38000,1.061,1.152,1.903
38029,1.058,1.148,2.432
38059,1.055,1.148,0.539
38087,1.052,1.148,0.435
38117,1.061,1.148,2.29
38146,1.058,1.152,2.413
38174,1.052,1.152,0.474
38204,1.055,1.148,0.435
38233,1.061,1.145,2.371
38262,1.055,1.155,2.426
38291,1.055,1.148,0.458
38321,1.055,1.145,0.439
38349,1.058,1.152,2.377
38379,1.061,1.155,2.384
38408,1.058,1.145,0.468
38436,1.052,1.148,0.416
38466,1.055,1.152,2.381
38495,1.061,1.152,2.174
38524,1.058,1.148,0.458
38553,1.055,1.152,0.406
38583,1.058,1.152,2.403
38611,1.058,1.148,1.858
38640,1.052,1.152,0.445
38670,1.055,1.148,0.41
38699,1.061,1.155,2.394
38728,1.055,1.148,1.729
38757,1.055,1.148,0.452
38787,1.055,1.152,0.426
38815,1.058,1.152,2.387
38845,1.058,1.152,2.084
38874,1.055,1.152,0.445
38902,1.058,1.152,0.942
38932,1.058,1.152,2.426
38961,1.055,1.148,1.21
38990,1.058,1.152,0.435
39019,1.055,1.148,0.681
39049,1.058,1.152,2.413
39077,1.058,1.152,1.487
39106,1.055,1.145,0.448
39136,1.055,1.152,1.029
39164,1.055,1.155,2.387
39194,1.052,1.152,1.116
39223,1.055,1.152,0.448
39252,1.058,1.152,1.268
39281,1.058,1.155,2.416
39311,1.052,1.145,1.106
39340,1.052,1.148,0.442
39368,1.061,1.152,1.774
39398,1.058,1.148,2.413
39427,1.055,1.148,0.713
39456,1.052,1.152,0.423
39485,1.058,1.155,1.784
39515,1.061,1.148,2.426
39543,1.052,1.148,0.703
39572,1.052,1.148,0.442
39602,1.058,1.148,2.213
39630,1.058,1.148,2.445
39660,1.055,1.152,0.474
39689,1.058,1.148,0.439
39718,1.058,1.152,2.368
39747,1.061,1.152,2.445
39777,1.055,1.148,0.461
39805,1.052,1.152,0.439
39834,1.055,1.148,2.381
39864,1.055,1.148,2.426
39892,1.055,1.148,0.461
39922,1.052,1.152,0.413
39951,1.058,1.148,2.381
39981,1.061,1.155,2.171
40009,1.055,1.152,0.455
40038,1.055,1.148,0.406
40068,1.058,1.152,2.384
40096,1.055,1.152,2.081
40126,1.052,1.148,0.461
40155,1.055,1.145,0.406
40184,1.058,1.148,2.397
40213,1.058,1.152,1.942
40243,1.055,1.148,0.455
40271,1.055,1.152,0.594
40300,1.055,1.158,2.397
40330,1.055,1.148,1.703
40358,1.052,1.152,0.452
40388,1.055,1.148,0.41
40417,1.058,1.152,2.413
40446,1.058,1.148,1.442
40475,1.055,1.148,0.439
40504,1.055,1.148,0.587
40534,1.061,1.152,2.41
40562,1.058,1.152,1.11
40592,1.055,1.148,0.442
40621,1.055,1.148,0.952
40650,1.058,1.155,2.394
40679,1.055,1.145,0.91
40709,1.055,1.148,0.452
40737,1.061,1.158,1.326
40766,1.058,1.152,2.413
40796,1.055,1.155,1.142
40824,1.052,1.148,0.445
40854,1.061,1.152,1.742
40883,1.061,1.158,2.419
40912,1.058,1.152,0.745
40941,1.052,1.148,0.442
40970,1.055,1.152,1.806
40999,1.061,1.148,2.416
41028,1.055,1.148,0.623
41058,1.055,1.148,0.439
41086,1.065,1.152,2.081
41116,1.055,1.155,2.419
41145,1.058,1.152,0.497
41175,1.052,1.155,0.439
41203,1.055,1.155,2.358
41232,1.058,1.155,2.435
41262,1.052,1.155,0.468
41290,1.055,1.148,0.435
41320,1.055,1.155,2.387
41349,1.055,1.155,2.423
41378,1.055,1.152,0.465
41407,1.055,1.148,0.439
41436,1.055,1.155,2.387
41465,1.058,1.152,2.432
41494,1.055,1.148,0.461
41524,1.048,1.152,0.419
41552,1.058,1.148,2.394
41582,1.058,1.148,2.01
41611,1.052,1.148,0.461
41640,1.055,1.155,0.4
41669,1.058,1.152,2.39
41698,1.058,1.148,1.771
41728,1.052,1.152,0.452
41756,1.058,1.148,0.561
41786,1.058,1.155,2.394
41815,1.058,1.152,1.906
41844,1.052,1.145,0.458
41873,1.052,1.155,0.41
41902,1.058,1.152,2.4
41931,1.058,1.148,1.474
41960,1.052,1.155,0.442
41990,1.055,1.155,0.587
42018,1.058,1.155,2.419
42048,1.052,1.152,1.581
42077,1.055,1.152,0.448
42106,1.058,1.152,0.797
42135,1.058,1.152,2.406
42164,1.061,1.148,1.358
42193,1.055,1.145,0.452
42222,1.058,1.148,1.577
42252,1.061,1.158,2.41
42280,1.052,1.148,0.816
42310,1.055,1.148,0.448
42339,1.061,1.152,1.384
42368,1.058,1.152,2.41
42397,1.055,1.152,0.755
42426,1.055,1.148,0.435
42456,1.058,1.152,1.819
42484,1.061,1.152,2.4
42514,1.055,1.155,0.639
42543,1.055,1.152,0.439
42572,1.055,1.155,2.042
42601,1.055,1.152,2.426
42630,1.048,1.148,0.51
42659,1.055,1.152,0.432
42688,1.058,1.155,2.342
42718,1.061,1.152,2.435
42746,1.052,1.152,0.465
42776,1.055,1.152,0.439
42805,1.058,1.155,2.384
42833,1.058,1.148,2.439
42863,1.058,1.145,0.461
42892,1.055,1.152,0.432
42921,1.058,1.152,2.377
42950,1.058,1.152,2.423
42980,1.055,1.148,0.465
43009,1.052,1.152,0.4
43038,1.058,1.152,2.387
43067,1.058,1.152,2.429
43096,1.055,1.152,0.455
43125,1.058,1.152,0.413
43154,1.058,1.152,2.387
43184,1.058,1.155,1.781
43212,1.052,1.148,0.458
43242,1.052,1.148,0.413
43271,1.058,1.152,2.394
43299,1.058,1.152,2.216
43329,1.055,1.145,0.448
43358,1.055,1.148,0.413
43387,1.055,1.152,2.397
43416,1.058,1.148,1.926
43446,1.052,1.152,0.452
43474,1.055,1.152,0.548
43504,1.058,1.148,2.426
43533,1.055,1.152,1.242
43561,1.058,1.148,0.452
43591,1.061,1.152,1.103
43620,1.061,1.148,2.4
43650,1.055,1.152,0.968
43678,1.058,1.148,0.448
43708,1.058,1.155,1.09
43737,1.061,1.152,2.39
43765,1.055,1.148,1.203
43795,1.052,1.145,0.448
43824,1.052,1.155,1.377
43853,1.058,1.152,2.419
43882,1.052,1.152,1.081
43912,1.055,1.148,0.439
43940,1.055,1.155,1.503
43970,1.058,1.152,2.41
43999,1.052,1.152,0.677
44027,1.052,1.148,0.442
44057,1.058,1.145,2.077
44086,1.058,1.152,2.429
44115,1.058,1.148,0.539
44144,1.052,1.148,0.435
44174,1.055,1.155,2.29
44203,1.058,1.152,2.435
44231,1.052,1.155,0.471
44261,1.055,1.148,0.442
44290,1.055,1.155,2.371
44319,1.065,1.155,2.426
44348,1.055,1.152,0.458
44378,1.058,1.152,0.439
44406,1.058,1.152,2.384
44436,1.058,1.152,2.426
44465,1.055,1.152,0.468
44493,1.052,1.152,0.413
44523,1.058,1.152,2.381
44552,1.055,1.148,2.123
44581,1.058,1.145,0.452
44610,1.052,1.145,0.403
44640,1.061,1.155,2.4
44668,1.055,1.155,2.01
44697,1.055,1.148,0.461
44727,1.055,1.155,0.406
44755,1.058,1.148,2.39
44785,1.061,1.152,1.665
44814,1.052,1.148,0.458
44844,1.058,1.152,0.423
44872,1.058,1.152,2.39
44902,1.058,1.152,1.558
44931,1.055,1.148,0.452
44959,1.058,1.152,0.435
44989,1.061,1.155,2.419
45018,1.052,1.152,1.152
