time,acceleration_x,acceleration_y,acceleration_z
16160,1.052,1.152,0.99
16189,1.061,1.152,2.403
16219,1.055,1.148,0.955
16247,1.055,1.148,0.455
16276,1.058,1.148,1.4
16306,1.058,1.152,2.397
16334,1.052,1.155,0.855
16364,1.052,1.152,0.445
16393,1.058,1.155,1.671
16422,1.061,1.152,2.429
16451,1.052,1.158,0.768
16481,1.055,1.155,0.426
16509,1.055,1.158,1.787
16538,1.058,1.158,2.426
16568,1.055,1.155,0.706
16596,1.055,1.148,0.442
16626,1.055,1.158,1.832
16655,1.058,1.155,2.439
16685,1.052,1.155,0.587
16713,1.052,1.152,0.423
16742,1.058,1.155,2.242
16772,1.065,1.155,2.429
16800,1.052,1.152,0.477
16830,1.048,1.152,0.429
16859,1.055,1.152,2.371
16888,1.058,1.145,2.429
16917,1.055,1.152,0.458
16947,1.058,1.142,0.423
16975,1.058,1.145,2.371
17004,1.058,1.148,2.423
17034,1.055,1.145,0.452
17062,1.055,1.148,0.406
17092,1.061,1.148,2.381
17121,1.058,1.152,2.432
17150,1.058,1.145,0.452
17179,1.055,1.148,0.4
17208,1.058,1.148,2.394
17238,1.055,1.155,2.277
17266,1.052,1.145,0.455
17296,1.052,1.148,0.4
17325,1.058,1.158,2.397
17354,1.058,1.155,2.016
17383,1.055,1.155,0.458
17413,1.058,1.155,0.503
17441,1.058,1.158,2.397
17470,1.061,1.158,2.203
17500,1.052,1.155,0.448
17528,1.055,1.155,0.413
17558,1.055,1.161,2.406
17587,1.058,1.155,1.642
17616,1.052,1.152,0.448
17645,1.055,1.155,0.555
17674,1.055,1.152,2.419
17703,1.055,1.152,1.603
17732,1.052,1.145,0.452
17762,1.058,1.148,0.906
17790,1.058,1.148,2.4
17820,1.061,1.148,0.965
17849,1.052,1.152,0.461
17879,1.055,1.155,1.548
17907,1.058,1.148,2.4
17936,1.058,1.152,0.823
17966,1.055,1.148,0.439
17994,1.055,1.148,1.352
18024,1.058,1.152,2.423
18053,1.052,1.148,0.771
18082,1.055,1.148,0.442
18111,1.058,1.152,1.59
18140,1.055,1.148,2.41
18169,1.055,1.152,0.684
18198,1.058,1.155,0.442
18228,1.058,1.152,1.932
18256,1.058,1.155,2.432
18286,1.055,1.155,0.542
18315,1.055,1.155,0.442
18344,1.061,1.158,2.306
18373,1.061,1.158,2.435
18402,1.055,1.155,0.477
18432,1.052,1.148,0.442
18460,1.061,1.158,2.374
18490,1.061,1.155,2.448
18519,1.055,1.148,0.465
18548,1.055,1.148,0.435
18577,1.061,1.152,2.377
18606,1.061,1.152,2.429
18635,1.052,1.152,0.458
18664,1.055,1.142,0.442
18694,1.058,1.145,2.387
18722,1.055,1.148,2.377
18752,1.055,1.148,0.455
18781,1.055,1.145,0.4
18810,1.058,1.148,2.394
18839,1.058,1.152,2.432
18868,1.055,1.145,0.455
18897,1.058,1.145,0.403
18926,1.058,1.148,2.394
18956,1.055,1.145,1.89
18984,1.055,1.145,0.445
19014,1.055,1.155,0.413
19043,1.058,1.158,2.39
