Time,Light
9794,46
9800,46
9805,46
9811,46
9817,45
9823,45
9828,45
9834,45
9840,45
9845,45
9851,45
9857,45
9863,45
9868,44
9874,44
9880,43
9885,43
9891,42
9897,42
9903,42
9908,41
9914,41
9920,41
9925,41
9931,41
9937,41
9942,41
9948,40
9954,40
9960,39
9965,39
9971,38
9977,38
9982,38
9988,37
9994,37
10000,37
10005,36
10011,36
10017,36
10023,35
10028,35
10034,35
10040,35
10046,34
10051,34
10057,33
10063,34
10069,33
10074,33
10080,33
10086,32
10092,32
10097,33
10103,33
10109,32
10115,32
10120,31
10126,31
10132,31
10138,30
10143,30
10149,30
10155,30
10161,31
10166,30
10172,30
10178,29
10184,29
10189,30
10195,29
10201,29
10207,29
10212,29
10218,28
10224,29
10230,29
10236,29
10241,29
10247,29
10253,29
10259,30
10264,29
10270,29
10276,29
10282,29
10287,30
10293,30
10299,30
10305,29
10310,30
10316,29
10322,30
10328,30
10333,30
10339,30
10345,30
10351,31
10357,32
10362,32
10368,32
10374,32
10380,32
10385,33
10391,33
10397,33
10403,33
10408,33
10414,34
10420,34
10426,35
10431,35
10437,35
10443,35
10449,35
10454,36
10460,35
10466,36
10472,35
10477,36
10483,37
10489,38
10495,38
10501,39
10506,39
10512,39
10518,40
10524,40
10529,40
10535,40
10541,40
10547,41
10552,42
10558,42
10564,42
10570,42
10575,43
10581,43
10587,44
10593,44
10598,44
10604,44
10610,44
10616,45
10621,45
10627,45
10633,44
10639,45
10644,46
10650,46
10656,47
10662,46
10667,45
10673,45
10679,46
10685,46
10690,46
10696,46
10702,46
10708,46
10713,47
10719,47
10725,47
10731,47
10736,47
10742,47
10748,47
10754,47
10760,46
10765,46
10771,46
10777,47
10783,47
10788,47
10794,47
10800,47
10806,47
10811,47
10817,47
10823,46
10829,45
10834,46
10840,47
10846,47
10852,46
10857,45
10863,43
10869,42
10875,41
10881,39
10886,37
10892,35
10898,34
10904,33
10909,33
10915,32
10921,32
10927,31
10932,30
10938,31
10944,31
10950,30
10955,30
10961,30
10967,31
10973,33
10978,34
10984,36
10990,37
10996,37
11002,37
11007,38
11013,37
11019,37
11025,37
11030,36
11036,37
11042,37
11048,36
11053,36
11059,35
11065,35
11071,35
11076,34
11082,34
11088,33
11094,33
11099,33
11105,34
11111,33
11117,33
11122,33
11128,32
11134,32
11140,32
11145,32
11151,31
11157,31
11163,31
11168,32
11174,31
11180,31
11186,30
11191,30
11197,30
11203,30
11209,30
11214,29
11220,29
11226,28
11232,29
11237,29
11243,29
11249,29
11255,29
11260,29
11266,29
11272,29
11278,29
11284,28
11289,28
11295,29
11301,29
11307,29
11312,29
11318,29
11324,29
11330,30
11335,30
11341,30
11347,29
11353,29
11358,30
11364,30
11370,31
11376,31
11381,31
11387,30
11393,31
11399,31
11405,31
