Time,Light
2463,11
2464,12
2465,11
2466,10
2467,12
2468,12
2469,12
2470,12
2471,11
2472,10
2473,11
2474,10
2475,11
2476,11
2477,10
2478,12
2479,11
2480,12
2481,10
2482,11
2483,12
2484,12
2485,11
2486,11
2487,13
2488,12
2489,12
2490,12
2491,12
2492,12
2493,12
2494,11
2495,12
2496,12
2497,11
2498,10
2499,12
2500,12
2501,11
2502,12
2503,10
2504,9
2505,12
2506,11
2507,11
2508,9
2509,10
2510,10
2511,11
2512,10
2513,11
2514,12
2515,11
2516,9
2517,10
2518,10
2519,11
2520,10
2521,10
2522,11
2523,12
2524,12
2525,12
2526,10
2527,11
2528,10
2529,10
2530,10
2531,11
2532,12
2533,10
2534,11
2535,10
2536,12
2537,12
2538,12
2539,12
2540,10
2541,12
2542,10
2543,12
2544,13
2545,12
2546,11
2547,12
2548,11
2549,9
2550,10
2551,10
2552,12
2553,12
2554,10
2555,12
2556,12
2557,12
2558,12
2559,11
2560,11
2561,11
2562,10
2563,11
2564,12
2565,13
2566,12
2567,14
2568,12
2569,13
2570,13
2571,14
2572,12
2573,14
2574,12
2575,13
2576,12
2577,15
2578,14
2579,14
2580,13
2581,14
2582,13
2583,12
2584,15
2585,16
2586,16
2587,15
2588,13
2589,15
2590,15
2591,18
2592,17
2593,17
2594,20
2595,19
2596,22
2597,21
2598,24
2599,23
2600,25
2601,26
2602,25
2603,27
2604,27
2605,28
2606,30
2607,29
2608,31
2609,30
2610,32
2611,30
2612,33
2613,31
2614,32
2615,33
2616,34
2617,34
2618,35
2619,32
2620,36
2621,36
2622,35
2623,35
2624,33
2625,34
2626,35
2627,35
2628,36
2629,34
2630,35
2631,36
2632,37
2633,37
2634,37
2635,37
2636,36
2637,38
2638,38
2639,38
2640,38
2641,37
2642,38
2643,39
2644,38
2645,39
2646,38
2647,40
2648,40
2649,37
2650,39
2651,38
2652,39
2653,39
2654,39
2655,40
2656,40
2657,40
2658,40
2659,40
2660,39
2661,41
2662,41
2663,41
2664,41
2665,42
2666,41
2667,43
2668,42
2669,43
2670,42
2671,43
2672,41
2673,44
2674,43
2675,42
2676,44
2677,42
2678,44
2679,43
2680,44
2681,44
2682,43
2683,43
2684,44
2685,45
2686,45
2687,46
2688,45
2689,45
2690,46
2691,46
2692,46
2693,46
2694,48
2695,47
2696,47
2697,50
2698,48
2699,50
2700,49
2701,49
2702,52
2703,50
2704,52
2705,51
2706,50
2707,51
2708,51
2709,53
2710,52
2711,53
2712,52
2713,53
2714,54
2715,52
2716,53
2717,54
2718,53
2719,55
2720,55
2721,54
2722,54
2723,53
2724,51
2725,51
2726,48
2727,47
2728,46
2729,44
2730,43
2731,44
2732,41
2733,40
2734,41
2735,38
2736,39
2737,38
2738,36
2739,36
2740,34
2741,35
2742,34
2743,33
2744,32
2745,34
2746,32
2747,32
2748,31
2749,32
2750,29
2751,29
2752,29
2753,28
2754,30
2755,28
2756,28
2757,29
2758,27
2759,28
2760,26
2761,26
2762,26
2763,25
2764,25
2765,26
2766,25
2767,24
2768,22
2769,23
2770,23
2771,24
2772,22
2773,23
2774,23
2775,22
2776,22
2777,21
2778,21
2779,22
2780,21
2781,22
2782,21
2783,21
2784,22
2785,20
2786,21
2787,21
2788,20
2789,20
2790,22
2791,21
2792,22
2793,21
2794,24
2795,24
2796,23
2797,25
2798,26
2799,27
2800,28
2801,29
2802,29
2803,30
2804,30
2805,31
2806,32
2807,30
2808,33
2809,33
2810,32
2811,34
2812,34
2813,36
2814,36
2815,37
2816,35
2817,38
2818,37
2819,38
2820,38
2821,39
2822,38
2823,38
2824,38
2825,38
2826,37
2827,37
2828,35
2829,36
2830,37
2831,35
2832,36
2833,34
2834,35
2835,36
2836,34
2837,35
2838,35
2839,33
2840,33
2841,32
2842,34
2843,33
2844,33
2845,34
2846,33
2847,33
2848,33
2849,33
2850,33
2851,33
2852,32
2853,33
2854,34
2855,32
2856,31
2857,29
2858,30
2859,29
2860,27
2861,29
2862,26
2863,26
2864,25
2865,25
2866,22
2867,23
2868,24
2869,24
2870,20
2871,22
2872,22
2873,19
2874,20
2875,19
2876,18
2877,18
2878,17
2879,17
2880,19
2881,18
2882,18
2883,18
2884,17
2885,16
2886,18
2887,17
2888,14
2889,16
2890,15
2891,15
2892,15
2893,15
2894,17
2895,17
2896,14
2897,15
2898,14
2899,15
2900,16
2901,15
2902,14
2903,15
2904,15
2905,15
2906,14
2907,15
2908,15
2909,16
2910,16
2911,14
2912,13
2913,15
2914,15
2915,13
2916,15
2917,15
2918,16
2919,15
2920,15
2921,15
2922,15
2923,15
2924,15
2925,13
2926,14
2927,14
2928,13
2929,14
2930,14
2931,15
2932,14
2933,13
2934,14
2935,13
2936,14
2937,12
2938,11
2939,12
2940,13
2941,14
2942,11
2943,12
2944,12
2945,13
2946,12
2947,14
2948,12
2949,12
2950,11
2951,11
2952,13
2953,12
2954,12
2955,12
2956,13
2957,12
2958,11
2959,10
2960,11
2961,11
2962,10
2963,12
2964,11
2965,12
2966,11
2967,10
2968,10
2969,11
2970,12
2971,12
2972,12
2973,11
2974,11
2975,12
2976,12
2977,10
2978,12
2979,11
2980,10
2981,12
2982,11
2983,9
2984,10
2985,10
2986,12
2987,11
2988,10
2989,10
2990,12
2991,12
2992,12
2993,12
2994,13
2995,15
2996,15
2997,17
2998,18
2999,18
3000,19
3001,20
3002,21
3003,23
3004,22
3005,24
3006,24
3007,24
3008,26
3009,27
3010,28
3011,27
3012,29
3013,32
3014,32
3015,31
3016,32
3017,34
3018,33
3019,32
3020,35
3021,37
3022,38
3023,37
3024,39
3025,42
3026,44
3027,46
3028,47
3029,50
3030,52
3031,54
3032,53
3033,57
3034,56
3035,60
3036,60
3037,62
3038,63
3039,62
3040,64
3041,63
3042,66
3043,67
3044,68
3045,68
3046,68
3047,72
3048,71
3049,71
3050,71
3051,72
3052,74
3053,72
3054,72
3055,74
3056,72
3057,72
3058,72
3059,71
3060,69
3061,69
3062,68
3063,65
3064,65
3065,65
3066,64
3067,63
3068,63
3069,62
3070,61
3071,61
3072,58
3073,59
3074,60
3075,58
3076,56
3077,57
3078,56
3079,56
3080,55
3081,55
3082,55
3083,55
3084,55
3085,56
3086,55
3087,55
3088,55
3089,56
3090,54
3091,54
3092,53
3093,53
3094,53
3095,54
3096,54
3097,53
3098,54
3099,53
3100,54
3101,52
3102,55
3103,52
3104,54
3105,53
3106,54
3107,53
3108,53
3109,53
3110,51
3111,53
3112,52
3113,53
3114,53
3115,54
3116,54
3117,54
3118,53
3119,56
3120,54
3121,55
3122,52
3123,54
3124,55
3125,53
3126,56
3127,54
3128,56
3129,55
3130,55
3131,57
3132,56
3133,57
3134,57
3135,57
3136,58
3137,59
3138,59
3139,58
3140,57
3141,59
3142,59
3143,58
3144,59
3145,58
3146,60
3147,58
3148,60
3149,59
3150,59
3151,60
3152,59
3153,59
3154,60
3155,60
3156,59
3157,58
3158,56
3159,56
3160,56
3161,54
3162,53
3163,51
3164,52
3165,49
3166,49
3167,49
3168,48
3169,47
3170,45
3171,45
3172,46
3173,43
3174,42
3175,43
3176,41
3177,42
3178,42
3179,41
3180,39
3181,41
3182,41
3183,39
3184,39
3185,40
3186,40
3187,41
3188,38
3189,38
3190,38
3191,38
3192,39
3193,40
3194,39
3195,39
3196,40
3197,38
3198,39
3199,40
3200,38
3201,39
3202,38
3203,38
3204,38
3205,39
3206,39
3207,39
3208,39
3209,39
3210,41
3211,40
3212,40
3213,41
3214,40
3215,38
3216,40
3217,41
3218,41
3219,40
3220,41
3221,41
3222,40
3223,42
3224,42
3225,41
3226,42
3227,42
3228,42
3229,43
3230,43
3231,45
3232,46
3233,46
3234,46
3235,47
3236,47
3237,47
3238,46
3239,47
3240,47
3241,48
3242,47
3243,49
3244,48
3245,48
3246,48
3247,50
3248,48
3249,48
3250,49
3251,50
3252,49
3253,50
3254,50
3255,48
3256,48
3257,47
3258,45
3259,44
3260,44
3261,42
3262,41
3263,39
3264,38
3265,37
3266,35
3267,32
3268,32
3269,32
3270,31
3271,28
3272,28
3273,27
3274,28
3275,28
3276,25
3277,25
3278,24
3279,25
3280,23
3281,24
3282,23
3283,21
3284,24
3285,22
3286,22
3287,22
3288,21
3289,21
3290,19
3291,18
3292,20
3293,18
3294,19
3295,17
3296,18
3297,16
3298,16
3299,16
3300,17
3301,17
3302,16
3303,15
3304,15
3305,15
3306,15
3307,15
3308,15
3309,15
3310,15
3311,13
3312,15
3313,13
3314,14
3315,13
3316,12
3317,14
3318,13
3319,12
3320,14
3321,13
3322,14
3323,13
3324,12
3325,14
3326,12
3327,13
3328,12
3329,13
3330,14
3331,12
3332,12
3333,14
3334,13
3335,14
3336,12
3337,13
3338,12
3339,12
3340,13
3341,14
3342,13
3343,14
3344,14
3345,13
3346,14
3347,13
3348,15
3349,12
3350,12
3351,13
3352,14
3353,14
3354,14
3355,14
3356,14
3357,14
3358,14
3359,15
3360,14
3361,13
3362,14
3363,13
3364,15
3365,15
3366,16
3367,15
3368,15
3369,15
3370,15
3371,15
3372,16
3373,15
3374,15
3375,15
3376,15
3377,16
3378,17
3379,16
3380,15
3381,15
3382,16
3383,17
3384,17
3385,16
3386,17
3387,16
3388,18
3389,16
3390,17
3391,16
3392,16
3393,18
3394,17
3395,19
3396,18
3397,18
3398,18
3399,19
3400,19
3401,19
3402,18
3403,20
3404,18
3405,20
3406,19
3407,19
3408,19
3409,19
3410,20
3411,19
3412,20
3413,20
3414,21
3415,21
3416,22
3417,21
3418,22
3419,23
3420,20
3421,22
3422,21
3423,23
3424,25
3425,25
3426,25
3427,28
3428,29
3429,29
3430,31
3431,32
3432,35
3433,34
3434,36
3435,37
3436,39
3437,39
3438,41
3439,40
3440,42
3441,41
3442,42
3443,43
3444,43
3445,41
3446,42
3447,43
3448,43
3449,42
3450,44
3451,43
3452,42
3453,45
3454,43
3455,42
3456,42
3457,42
3458,43
3459,44
3460,43
3461,42
3462,42
3463,43
3464,45
3465,43
3466,45
3467,43
3468,44
3469,43
3470,44
3471,44
3472,43
3473,44
3474,44
3475,44
3476,44
3477,42
3478,44
3479,44
3480,44
3481,43
3482,43
3483,44
3484,44
3485,42
3486,44
3487,44
3488,43
3489,43
3490,43
3491,42
3492,40
3493,41
3494,38
3495,37
3496,36
3497,36
3498,35
3499,34
3500,33
3501,32
3502,31
3503,30
3504,29
3505,28
3506,28
3507,29
3508,27
3509,27
3510,26
3511,25
3512,24
3513,24
3514,24
3515,25
3516,24
3517,21
3518,23
3519,24
3520,23
3521,24
3522,21
3523,23
3524,24
3525,22
3526,24
3527,23
3528,23
3529,23
3530,24
3531,25
3532,26
3533,25
3534,26
3535,26
3536,28
3537,27
3538,28
3539,28
3540,28
3541,28
3542,28
3543,29
3544,29
3545,29
3546,30
3547,31
3548,29
3549,31
3550,31
3551,31
3552,31
3553,32
3554,31
3555,32
3556,33
3557,32
3558,32
3559,34
3560,35
3561,38
3562,36
3563,36
3564,35
3565,39
3566,38
3567,40
3568,42
3569,40
3570,42
3571,42
3572,42
3573,43
3574,44
3575,45
3576,45
3577,44
3578,46
3579,44
3580,45
3581,46
3582,46
3583,48
3584,47
3585,47
3586,47
3587,47
3588,47
3589,48
3590,46
3591,48
3592,46
3593,46
3594,45
3595,44
3596,43
3597,44
3598,44
3599,43
3600,43
3601,43
3602,42
3603,42
3604,41
3605,39
3606,40
3607,40
3608,40
3609,41
3610,41
3611,41
3612,40
3613,40
3614,39
3615,40
3616,40
3617,40
3618,42
3619,41
3620,40
3621,41
3622,40
3623,41
3624,42
3625,41
3626,41
3627,40
3628,41
3629,41
3630,40
3631,41
3632,41
3633,41
3634,40
3635,42
3636,42
3637,42
3638,43
3639,42
3640,40
3641,40
