Time,V_out
1000,786
2000,786
3000,786
4000,786
5000,786
6000,786
7000,786
8000,786
9000,785
10000,786
11000,786
12000,786
13000,786
14000,786
15000,783
16000,748
17000,731
18000,726
19000,724
20000,721
21000,722
22000,720
23000,719
24000,719
25000,719
26000,718
27000,717
28000,726
29000,734
30000,741
31000,745
32000,749
