Time,Light
506,36
513,32
520,35
527,30
534,36
542,29
549,35
556,30
563,35
570,30
577,33
584,30
591,30
598,29
605,27
612,30
619,25
626,28
634,24
641,29
648,24
655,29
662,26
669,28
676,26
683,27
690,25
697,26
704,25
711,23
718,23
725,22
733,25
740,23
747,26
754,22
761,25
768,23
775,25
782,22
789,25
796,24
803,25
810,23
817,22
825,24
832,22
839,24
846,19
853,24
860,22
867,26
874,23
881,25
888,24
895,27
902,24
910,29
917,26
924,28
931,25
938,28
945,27
952,26
959,28
966,25
973,28
980,24
987,29
994,25
1002,32
1009,27
1016,34
1023,29
1030,35
1037,29
1044,35
1051,28
1059,39
1066,31
1073,37
1080,31
1087,38
1094,31
1101,39
1109,33
1116,40
1123,32
1130,39
1137,36
1144,39
1151,35
1158,39
1165,37
1173,40
1180,38
1187,41
1194,37
1201,41
1208,37
1215,41
1222,40
1230,41
1237,40
1244,42
1251,42
1258,42
1265,42
1272,41
1279,42
1287,42
1294,43
1301,40
1308,44
1315,42
1322,42
1329,42
1336,43
1344,41
1351,43
1358,41
1365,42
1372,40
1379,43
1386,41
1394,44
1401,39
1408,44
1415,39
1422,44
1429,39
1436,44
1443,38
1451,42
1458,37
1465,42
1472,36
1479,42
1486,35
1493,41
1500,34
1508,41
1515,32
1522,40
1529,33
1536,38
1543,32
1550,40
1557,33
1565,38
1572,30
1579,38
1586,31
1593,35
1600,30
1607,37
1615,29
1622,36
1629,28
1636,35
1643,27
1650,34
1657,28
1664,31
1671,28
1679,31
1686,27
1693,29
1700,27
1707,28
1714,26
1721,28
1728,24
1736,28
1743,25
1750,26
1757,24
1764,25
1771,24
1778,24
1785,23
1793,23
1800,24
1807,24
1814,24
1821,22
1828,23
1835,21
1842,21
1850,22
1857,23
1864,21
1871,24
1878,19
1885,24
1892,19
1900,24
1907,21
1914,22
1921,20
1928,26
1935,22
1942,25
1949,22
1957,26
1964,22
1971,26
1978,21
1985,28
1992,24
1999,28
2006,24
2014,30
2021,24
2028,30
2035,25
2042,29
2049,25
2056,32
2064,28
2071,33
2078,27
2085,32
2092,28
2099,33
2106,28
2113,37
2121,30
2128,37
2135,30
2142,39
2149,32
2156,41
2163,33
2170,39
2178,35
2185,40
2192,34
2199,41
2206,36
2213,42
2220,37
2227,43
2235,37
2242,42
2249,38
2256,42
2263,40
2270,43
2277,38
2284,43
2292,39
2299,44
2306,40
2313,43
2320,41
2327,42
2334,41
2341,43
2349,42
2356,43
2363,42
2370,44
