Time,Light
12510,33
12516,33
12521,34
12527,34
12533,34
12539,34
12544,34
12550,34
12556,35
12562,35
12567,35
12573,35
12579,35
12585,36
12590,36
12596,37
12602,37
12608,37
12613,37
12619,38
12625,39
12631,39
12636,39
12642,39
12648,40
12654,40
12659,41
12665,41
12671,41
12677,41
12682,42
12688,42
12694,42
12700,42
12706,42
12711,43
12717,43
12723,44
12729,43
12734,43
12740,43
12746,44
12752,44
12757,45
12763,44
12769,44
12775,44
12780,45
12786,45
12792,45
12798,45
12803,45
12809,45
12815,46
12821,46
12826,46
12832,45
12838,45
12844,46
12849,46
12855,46
12861,46
12867,45
12872,46
12878,46
12884,46
12890,46
12896,46
12901,45
12907,46
12913,46
12919,46
12924,46
12930,45
12936,45
12942,45
12947,45
12953,45
12959,45
12965,44
12970,44
12976,44
12982,44
12988,44
12993,43
12999,43
13005,43
13011,43
13016,44
13022,43
13028,42
13034,42
13039,42
13045,42
13051,42
13057,41
13063,41
13068,40
13074,40
13080,40
13086,40
13091,39
13097,39
13103,39
13109,39
13114,39
13120,38
13126,37
13132,37
13137,37
13143,37
13149,37
13155,36
13160,36
13166,35
13172,35
13178,35
13183,35
13189,34
13195,33
13201,33
13206,33
13212,33
13218,32
13224,32
13229,32
13235,32
13241,32
13247,32
13253,31
13258,31
13264,30
13270,31
13276,30
13281,30
13287,30
13293,29
13299,29
13304,29
13310,29
13316,29
13322,29
13327,28
13333,29
13339,29
13345,29
13350,28
13356,28
13362,28
13368,28
13373,28
13379,28
13385,28
13391,27
13396,28
13402,28
13408,28
13414,28
13419,28
13425,28
13431,29
13437,28
13443,28
13448,28
13454,28
13460,29
13466,29
13471,29
13477,29
13483,29
13489,29
13494,30
13500,30
13506,30
13512,30
13517,30
13523,30
13529,31
13535,31
13540,32
13546,31
13552,32
13558,32
13563,33
13569,33
13575,34
13581,34
13587,34
13592,35
13598,35
13604,35
13610,36
13615,35
13621,36
13627,37
13633,37
13638,37
13644,37
13650,37
13656,38
13661,39
13667,39
13673,39
13679,39
13684,39
13690,40
13696,40
13702,40
13707,40
13713,40
13719,41
13725,41
13730,42
13736,42
13742,42
13748,42
13753,42
13759,43
13765,43
13771,43
13776,43
13782,44
13788,44
13794,45
13800,44
13805,44
13811,44
13817,45
13823,45
13828,46
13834,45
13840,45
13846,45
13851,46
13857,46
13863,46
13869,46
13874,46
13880,46
13886,47
13892,47
13897,46
13903,46
13909,46
13915,46
13920,47
13926,46
13932,46
13938,46
13943,46
13949,46
13955,47
13961,47
13967,46
13972,46
13978,46
13984,46
13990,46
13995,45
14001,45
14007,44
14013,45
14018,45
14024,44
14030,44
14036,44
14041,43
14047,44
14053,44
14059,43
14064,43
14070,42
14076,42
14082,43
14087,43
14093,42
14099,42
14105,41
14110,41
